Indian rank,Name,Gender,Title,Standard_Rating,Rapid_rating,Blitz_rating
1,Anand  Viswanathan,M,GM,2753,2751,2785
2,Vidit  Santosh Gujrathi,M,GM,2726,2636,2735
3,Harikrishna  Pentala,M,GM,2719,2690,2663
4,Adhiban  B.,M,GM,2659,2624,2633
5,Sasikiran  Krishnan,M,GM,2647,2577,2552
6,Sethuraman  S.P.,M,GM,2644,2588,2477
7,Aravindh  Chithambaram VR.,M,GM,2641,2586,2600
8,Negi  Parimarjan,M,GM,2639,2613,2613
9,Ganguly  Surya Shekhar,M,GM,2635,2646,2563
10,Nihal Sarin,M,GM,2620,2418,2658
11,Narayanan.S.L,M,GM,2618,2436,2617
12,Gupta  Abhijeet,M,GM,2612,2551,2549
13,Praggnanandhaa R,M,GM,2608,1781,2555
14,Karthikeyan  Murali,M,GM,2606,2388,2564
15,Vaibhav  Suri,M,GM,2600,2543,2381
16,Gopal G.N.,M,GM,2593,2523,2559
17,Koneru  Humpy,F,GM,2586,2483,2483
18,Aryan Chopra,M,GM,2585,0,0
19,Puranik  Abhimanyu,M,GM,2584,2440,2460
20,Gukesh D,M,GM,2563,1927,2376
21,Erigaisi Arjun,M,GM,2559,2254,2609
22,Kannappan Priyadharshan,M,GM,2553,2478,2464
23,Lalith Babu M R,M,GM,2553,2557,2557
24,Sadhwani  Raunak,M,GM,2545,2454,2514
25,Chanda  Sandipan,M,GM,2543,2602,2490
26,Ghosh  Diptayan,M,GM,2541,2473,2534
27,Narayanan  Srinath,M,GM,2540,2518,2472
28,Deepan Chakkravarthy J.,M,GM,2535,2475,2490
29,Sengupta  Deep,M,GM,2527,2438,2347
30,Stany  G.A.,M,GM,2522,2354,2502
31,Shyam  Sundar M.,M,GM,2518,2464,2489
32,Visakh N R,M,GM,2516,2371,2428
33,Harika  Dronavalli,F,GM,2515,2450,2422
34,Gagare  Shardul,M,GM,2514,2449,2488
35,Harsha Bharathakoti,M,GM,2509,2488,2576
36,Panchanathan  Magesh Chandran,M,GM,2508,0,2494
37,Arun Prasad  S.,M,GM,2507,2486,2514
38,Iniyan  P,M,GM,2506,2295,2400
39,Grover  Sahaj,M,GM,2504,2492,2525
40,Debashis  Das,M,GM,2501,2565,2470
41,Anurag  Mhamal,M,GM,2499,2382,2317
42,Girish  A. Koushik,M,GM,2498,2410,2387
43,Swapnil  S. Dhopade,M,GM,2495,2470,2402
44,Akash G,M,GM,2495,2393,2359
45,Venkatesh  M.R.,M,GM,2493,2414,2450
46,Swayams  Mishra,M,GM,2489,2461,2419
